24-03-2026 20:10:51 | GET | Cafeteria-api/categorias
24-03-2026 20:14:22 | POST | Cafeteria-api/categorias
24-03-2026 20:15:19 | POST | Cafeteria-api/categorias
27-03-2026 19:09:17 | GET | Cafeteria-api/categorias
27-03-2026 19:09:22 | GET | Cafeteria-api/categorias
27-03-2026 19:10:12 | GET | Cafeteria-api/categorias
27-03-2026 19:10:17 | GET | Cafeteria-api/categorias
27-03-2026 19:10:39 | GET | Cafeteria-api/categorias
27-03-2026 19:11:11 | GET | Cafeteria-api/categorias
27-03-2026 19:11:11 | GET | Cafeteria-api/categorias
27-03-2026 19:11:15 | GET | Cafeteria-api/categorias
27-03-2026 19:11:55 | GET | Cafeteria-api/categorias
27-03-2026 19:11:58 | GET | Cafeteria-api/categorias
27-03-2026 19:12:08 | GET | Cafeteria-api/categorias
27-03-2026 19:12:09 | GET | Cafeteria-api/categorias
27-03-2026 19:12:10 | GET | Cafeteria-api/categorias
27-03-2026 19:12:11 | GET | Cafeteria-api/categorias
27-03-2026 19:12:12 | GET | Cafeteria-api/categorias
27-03-2026 19:12:14 | GET | Cafeteria-api/categorias
27-03-2026 19:12:54 | GET | Cafeteria-api/categorias
27-03-2026 19:17:52 | POST | Cafeteria-api/categorias
27-03-2026 19:18:35 | POST | Cafeteria-api/categorias
27-03-2026 19:20:07 | GET | Cafeteria-api/categorias
27-03-2026 19:21:30 | GET | Cafeteria-api/categorias
27-03-2026 19:21:48 | GET | Cafeteria-api/categorias
27-03-2026 19:21:50 | GET | Cafeteria-api/categorias
27-03-2026 19:28:45 | GET | Cafeteria-api/categorias
27-03-2026 19:28:46 | GET | Cafeteria-api/categorias
27-03-2026 19:28:46 | GET | Cafeteria-api/categorias
27-03-2026 19:28:47 | GET | Cafeteria-api/categorias
27-03-2026 19:28:47 | GET | Cafeteria-api/categorias
27-03-2026 19:28:47 | GET | Cafeteria-api/categorias
27-03-2026 19:28:47 | GET | Cafeteria-api/categorias
27-03-2026 19:28:47 | GET | Cafeteria-api/categorias
27-03-2026 19:28:50 | GET | Cafeteria-api/categorias
31-03-2026 13:44:52 | GET | cafeteria-api
31-03-2026 13:45:00 | GET | cafeteria-api/categorias
31-03-2026 13:49:06 | GET | cafeteria-api
31-03-2026 13:49:45 | GET | cafeteria-api//cafeteria/categorias
31-03-2026 13:51:51 | GET | cafeteria-api/cafeteria/categorias
31-03-2026 13:52:04 | GET | cafeteria-api
31-03-2026 13:53:29 | GET | cafeteria-api/categorias
31-03-2026 13:54:43 | GET | cafeteria-api/categorias
31-03-2026 13:55:45 | GET | Cafeteria-api/categorias
31-03-2026 13:55:49 | GET | cafeteria-api/categorias
31-03-2026 13:55:57 | POST | Cafeteria-api/categorias
31-03-2026 13:56:00 | GET | cafeteria-api/categorias
31-03-2026 14:04:23 | GET | cafeteria-api/categorias
31-03-2026 14:04:27 | GET | cafeteria-api/categorias
31-03-2026 14:04:33 | GET | cafeteria-api/categorias
31-03-2026 14:04:44 | GET | cafeteria-api/categorias
31-03-2026 14:05:10 | GET | cafeteria-api/categorias
31-03-2026 14:05:20 | GET | cafeteria-api/categorias
31-03-2026 14:05:35 | GET | cafeteria-api/categorias
31-03-2026 14:05:46 | GET | cafeteria-api/categorias
31-03-2026 14:06:01 | GET | cafeteria-api/categorias
31-03-2026 14:06:31 | POST | Cafeteria-api/categorias
31-03-2026 14:06:33 | GET | cafeteria-api/categorias
31-03-2026 14:14:00 | GET | cafeteria-api/categorias
31-03-2026 14:14:03 | GET | cafeteria-api/categorias
31-03-2026 14:16:05 | GET | cafeteria-api/categorias
31-03-2026 14:18:14 | GET | cafeteria-api/categorias
31-03-2026 14:18:58 | GET | cafeteria-api/categorias
31-03-2026 14:20:53 | GET | cafeteria-api/categorias
31-03-2026 14:20:59 | GET | cafeteria-api/categorias
31-03-2026 14:21:02 | GET | cafeteria-api/categorias
31-03-2026 14:21:07 | GET | cafeteria-api/categorias
31-03-2026 14:21:20 | GET | cafeteria-api/categorias
31-03-2026 14:21:22 | GET | cafeteria-api/categorias
31-03-2026 14:21:29 | GET | cafeteria-api/categorias
31-03-2026 14:21:35 | GET | cafeteria-api/categorias
31-03-2026 14:22:08 | GET | cafeteria-api/categorias
31-03-2026 14:23:34 | GET | cafeteria-api/categorias
31-03-2026 14:24:45 | GET | cafeteria-api/categorias
31-03-2026 14:24:46 | GET | cafeteria-api/categorias
31-03-2026 14:24:47 | GET | cafeteria-api/categorias
31-03-2026 14:25:12 | POST | Cafeteria-api/categorias
31-03-2026 14:25:16 | GET | cafeteria-api/categorias
31-03-2026 14:33:23 | GET | cafeteria-api/categorias
31-03-2026 14:33:59 | GET | cafeteria-api/categorias
31-03-2026 14:33:59 | GET | cafeteria-api/categorias
31-03-2026 14:34:00 | GET | cafeteria-api/categorias
31-03-2026 14:34:01 | GET | cafeteria-api/categorias
31-03-2026 14:34:01 | GET | cafeteria-api/categorias
31-03-2026 14:34:35 | GET | cafeteria-api/categorias
31-03-2026 14:34:45 | GET | cafeteria-api/categorias
31-03-2026 14:34:45 | GET | cafeteria-api/categorias
31-03-2026 14:35:00 | GET | cafeteria-api/categorias
31-03-2026 14:35:01 | GET | cafeteria-api/categorias
31-03-2026 14:35:17 | GET | cafeteria-api/categorias
31-03-2026 14:35:20 | GET | cafeteria-api/categorias
31-03-2026 14:36:06 | GET | cafeteria-api/categorias
31-03-2026 14:36:08 | GET | cafeteria-api/categorias
31-03-2026 14:36:09 | GET | cafeteria-api/categorias
31-03-2026 14:36:10 | GET | cafeteria-api/categorias
31-03-2026 14:37:01 | GET | cafeteria-api/categorias
31-03-2026 14:37:04 | GET | cafeteria-api/categorias
31-03-2026 14:38:58 | GET | cafeteria-api/categorias
31-03-2026 14:38:58 | GET | cafeteria-api/categorias
31-03-2026 14:39:24 | GET | cafeteria-api/categorias
31-03-2026 14:39:26 | GET | cafeteria-api/categorias
31-03-2026 14:40:04 | GET | cafeteria-api/categorias
31-03-2026 14:41:09 | GET | cafeteria-api/categorias
31-03-2026 14:41:17 | GET | cafeteria-api/categorias
31-03-2026 14:41:18 | GET | cafeteria-api/categorias
31-03-2026 14:41:44 | GET | cafeteria-api/categorias
31-03-2026 14:42:29 | GET | cafeteria-api/categorias
31-03-2026 14:46:16 | POST | Cafeteria-api/categorias
31-03-2026 14:46:20 | GET | cafeteria-api/categorias
31-03-2026 14:47:41 | GET | cafeteria-api/categorias
31-03-2026 14:47:42 | GET | cafeteria-api/categorias
31-03-2026 14:47:43 | GET | cafeteria-api/categorias
31-03-2026 14:47:45 | GET | cafeteria-api/categorias
31-03-2026 14:47:51 | GET | cafeteria-api/categorias
31-03-2026 14:48:00 | GET | cafeteria-api/categorias
31-03-2026 14:48:03 | GET | cafeteria-api/categorias
31-03-2026 15:30:16 | GET | cafeteria-api/categorias
31-03-2026 15:34:05 | GET | cafeteria-api/categorias
31-03-2026 15:35:03 | GET | cafeteria-api/categorias
31-03-2026 15:35:05 | GET | cafeteria-api/categorias
31-03-2026 15:35:10 | GET | cafeteria-api/categorias
31-03-2026 15:35:33 | GET | cafeteria-api/categorias
31-03-2026 15:35:36 | GET | cafeteria-api/categorias
31-03-2026 15:35:38 | GET | cafeteria-api/categorias
31-03-2026 15:36:19 | GET | cafeteria-api/categorias
31-03-2026 15:36:30 | GET | cafeteria-api/categorias
31-03-2026 15:37:03 | GET | cafeteria-api/categorias
31-03-2026 15:37:42 | GET | cafeteria-api/categorias
31-03-2026 15:38:05 | GET | cafeteria-api/categorias
31-03-2026 15:38:09 | GET | cafeteria-api/categorias
31-03-2026 15:38:11 | GET | cafeteria-api/categorias
31-03-2026 15:38:13 | GET | cafeteria-api/categorias
31-03-2026 15:38:19 | GET | cafeteria-api/categorias
31-03-2026 15:38:20 | GET | cafeteria-api/categorias
31-03-2026 15:49:14 | GET | cafeteria-api/categorias
31-03-2026 15:49:14 | GET | cafeteria-api/categorias
31-03-2026 15:49:17 | GET | cafeteria-api/categorias
31-03-2026 15:49:18 | GET | cafeteria-api/categorias
