2026-04-10 04:40:01 | GET | meus-planos-api/categorias
2026-04-10 04:40:08 | OPTIONS | meus-planos-api/categorias
2026-04-10 04:40:08 | POST | meus-planos-api/categorias
2026-04-10 04:42:00 | GET | meus-planos-api/categorias
2026-04-10 04:42:06 | OPTIONS | meus-planos-api/categorias
2026-04-10 04:42:06 | POST | meus-planos-api/categorias
2026-04-10 04:42:06 | GET | meus-planos-api/categorias
2026-04-10 04:42:12 | GET | meus-planos-api/itens
2026-04-10 04:42:12 | GET | meus-planos-api/categorias
2026-04-10 04:42:24 | OPTIONS | meus-planos-api/itens
2026-04-10 04:42:24 | POST | meus-planos-api/itens
2026-04-10 04:42:24 | GET | meus-planos-api/itens
2026-04-10 04:57:25 | GET | meus-planos-api/categorias
2026-04-10 04:57:30 | GET | meus-planos-api/categorias
2026-04-10 04:57:30 | GET | meus-planos-api/itens
2026-04-10 04:58:34 | GET | meus-planos-api/categorias
2026-04-10 04:58:34 | GET | meus-planos-api/itens
2026-04-10 05:01:26 | GET | meus-planos-api/categorias
2026-04-10 05:01:26 | GET | meus-planos-api/itens
2026-04-10 05:01:29 | GET | meus-planos-api/categorias
2026-04-10 05:04:43 | GET | meus-planos-api/categorias
2026-04-10 05:04:45 | GET | meus-planos-api/categorias
2026-04-10 05:04:45 | GET | meus-planos-api/itens
2026-04-10 05:05:15 | GET | meus-planos-api/categorias
2026-04-10 14:25:22 | GET | meus-planos-api/categorias
2026-04-10 14:25:48 | GET | meus-planos-api/categorias
2026-04-10 14:27:46 | GET | meus-planos-api/categorias
2026-04-10 14:28:33 | GET | meus-planos-api/categorias
2026-04-10 14:29:21 | GET | meus-planos-api/categorias
2026-04-10 14:29:34 | OPTIONS | meus-planos-api/categorias
2026-04-10 14:29:34 | POST | meus-planos-api/categorias
2026-04-10 14:29:34 | GET | meus-planos-api/categorias
2026-04-10 14:30:04 | GET | meus-planos-api/categorias
2026-04-10 14:30:09 | OPTIONS | meus-planos-api/categorias/1
2026-04-10 14:30:09 | DELETE | meus-planos-api/categorias/1
2026-04-10 14:30:09 | GET | meus-planos-api/categorias
2026-04-10 14:30:16 | OPTIONS | meus-planos-api/categorias
2026-04-10 14:30:16 | POST | meus-planos-api/categorias
2026-04-10 14:30:16 | GET | meus-planos-api/categorias
2026-04-10 14:31:22 | GET | meus-planos-api/categorias
2026-04-10 14:33:32 | GET | meus-planos-api/categorias
2026-04-10 14:49:35 | GET | meus-planos-api/itens
2026-04-10 14:49:38 | GET | meus-planos-api/itens
2026-04-10 14:53:07 | GET | meus-planos-api/itens
2026-04-10 14:53:11 | GET | meus-planos-api/itens
2026-04-10 14:53:14 | GET | meus-planos-api/itens
2026-04-10 14:55:19 | GET | meus-planos-api/itens
2026-04-10 14:55:19 | GET | meus-planos-api/itens
2026-04-10 14:55:24 | GET | meus-planos-api/itens
2026-04-10 14:55:24 | GET | meus-planos-api/itens
2026-04-10 14:57:03 | GET | meus-planos-api/itens
2026-04-10 14:57:03 | GET | meus-planos-api/itens
2026-04-10 14:58:46 | GET | meus-planos-api/itens
2026-04-10 14:58:46 | GET | meus-planos-api/itens
2026-04-10 14:58:48 | GET | meus-planos-api/itens
2026-04-10 14:58:48 | GET | meus-planos-api/itens
2026-04-10 15:01:07 | GET | meus-planos-api/itens
2026-04-10 15:01:07 | GET | meus-planos-api/itens
2026-04-10 15:01:21 | GET | meus-planos-api/itens
2026-04-10 15:01:21 | GET | meus-planos-api/itens
2026-04-10 15:07:50 | GET | meus-planos-api/itens
2026-04-10 15:09:11 | GET | meus-planos-api/itens
2026-04-10 15:09:11 | GET | meus-planos-api/itens
2026-04-10 15:09:37 | GET | meus-planos-api/itens
2026-04-10 15:09:41 | GET | meus-planos-api/itens
2026-04-10 15:09:42 | GET | meus-planos-api/itens
2026-04-10 15:09:42 | GET | meus-planos-api/itens
2026-04-10 15:09:43 | GET | meus-planos-api/itens
2026-04-10 15:37:22 | GET | meus-planos-api/itens
2026-04-10 15:37:22 | GET | meus-planos-api/itens
2026-04-10 15:39:47 | GET | meus-planos-api/itens
2026-04-10 15:39:47 | GET | meus-planos-api/itens
2026-04-10 15:48:47 | GET | meus-planos-api/categorias
2026-04-10 15:48:47 | GET | meus-planos-api/itens
2026-04-10 15:53:36 | GET | meus-planos-api/categorias
2026-04-10 15:54:04 | OPTIONS | meus-planos-api/itens
2026-04-10 15:54:04 | POST | meus-planos-api/itens
2026-04-10 15:54:04 | GET | meus-planos-api/itens
2026-04-10 15:58:10 | GET | meus-planos-api/categorias
2026-04-10 15:58:12 | OPTIONS | meus-planos-api/itens/2
2026-04-10 15:58:12 | DELETE | meus-planos-api/itens/2
2026-04-10 15:58:12 | GET | meus-planos-api/itens
2026-04-10 15:58:48 | OPTIONS | meus-planos-api/itens
2026-04-10 15:58:48 | POST | meus-planos-api/itens
2026-04-10 15:58:48 | GET | meus-planos-api/itens
2026-04-10 16:04:09 | GET | meus-planos-api/categorias
2026-04-10 16:04:09 | GET | meus-planos-api/itens
2026-04-10 16:04:14 | GET | meus-planos-api/itens
rias
2026-04-10 16:04:32 | GET | meus-planos-api/itens
rias
2026-04-10 16:04:44 | GET | meus-planos-api/itens
